onset_sec,duration_sec,pitch,velocity,track,channel,id
182.76666,0.08541667,72,59,0,1,1831
182.90625,0.21354167,64,56,0,1,1832
182.91145,0.51979166,84,86,0,1,1833
183.05,0.06458333,72,53,0,1,1834
183.2125,0.06979167,67,39,0,1,1835
183.31667,0.059375,72,51,0,1,1836
183.44376,0.077083334,79,68,0,1,1837
183.45312,0.2125,64,46,0,1,1838
183.57603,0.0625,72,47,0,1,1839
183.68646,0.04375,67,54,0,1,1840
183.81041,0.061458334,72,62,0,1,1841
183.94687,0.06666667,77,78,0,1,1842
183.96771,0.07083333,62,60,0,1,1843
184.02292,0.065625,79,78,0,1,1844
184.07292,0.058333334,71,58,0,1,1845
184.11563,0.065625,77,72,0,1,1846
184.17708,0.06666667,79,78,0,1,1847
184.2125,0.05,67,53,0,1,1848
184.24896,0.06666667,77,66,0,1,1849
184.31146,0.0625,76,75,0,1,1850
184.33438,0.051041666,71,57,0,1,1851
184.39688,0.09791667,77,78,0,1,1852
184.49583,0.11875,62,56,0,1,1853
184.49896,0.290625,79,78,0,1,1854
184.63646,0.053125,71,38,0,1,1855
184.7552,0.25625,77,81,0,1,1856
184.75937,0.054166667,67,50,0,1,1857
184.87604,0.071875,71,55,0,1,1858
185.02812,0.39479166,75,73,0,1,1859
185.03542,0.083333336,60,50,0,1,1860
185.18124,0.06875,72,54,0,1,1861
185.31667,0.075,67,51,0,1,1862
185.45416,0.05625,72,48,0,1,1863
185.58542,0.14270833,76,51,0,1,1864
185.59688,0.203125,60,42,0,1,1865
185.72188,0.055208333,72,44,0,1,1866
185.86458,0.077083334,67,36,0,1,1867
185.96146,0.046875,72,52,0,1,1868
186.11458,0.2,60,36,0,1,1869
186.25833,0.05625,67,44,0,1,1870
186.38333,0.08020833,64,48,0,1,1871
186.40208,0.0625,76,54,0,1,1872
186.5052,0.0375,77,58,0,1,1873
186.5073,0.067708336,67,46,0,1,1874
186.62604,0.036458332,79,64,0,1,1875
186.64896,0.12083333,60,48,0,1,1876
186.77083,0.08125,67,40,0,1,1877
186.88853,0.0625,64,47,0,1,1879
186.88853,0.039583333,79,65,0,1,1878
187.01146,0.110416666,67,49,0,1,1880
187.1625,0.228125,59,47,0,1,1881
187.18541,0.50416666,79,60,0,1,1882
187.31876,0.06666667,67,45,0,1,1883
187.41562,0.07083333,62,51,0,1,1884
187.55417,0.072916664,67,44,0,1,1885
187.66875,0.09791667,74,57,0,1,1886
187.6802,0.1625,59,46,0,1,1887
187.8052,0.065625,67,48,0,1,1888
187.90625,0.040625,62,53,0,1,1889
188.03125,0.072916664,67,54,0,1,1890
188.17397,0.0625,72,71,0,1,1891
188.175,0.1875,57,55,0,1,1892
188.24167,0.047916666,74,67,0,1,1893
188.30624,0.125,66,57,0,1,1894
188.32812,0.058333334,72,69,0,1,1895
188.38959,0.07083333,74,74,0,1,1896
188.44687,0.114583336,60,50,0,1,1897
188.46562,0.067708336,72,69,0,1,1898
188.52188,0.06666667,71,72,0,1,1899
188.58022,0.10625,66,41,0,1,1900
188.62083,0.10729167,72,76,0,1,1901
188.71979,0.26041666,57,56,0,1,1902
188.72917,0.259375,74,72,0,1,1903
188.82603,0.12083333,66,60,0,1,1904
188.95312,0.09375,60,64,0,1,1905
188.96355,0.215625,72,76,0,1,1906
189.08542,0.088541664,66,64,0,1,1907
189.23334,0.08125,71,83,0,1,1908
189.2375,0.165625,55,57,0,1,1909
189.2375,0.055208333,67,58,0,1,1910
189.36563,0.0625,67,69,0,1,1911
189.49687,0.08125,72,74,0,1,1912
189.60625,0.08125,69,76,0,1,1913
189.72708,0.140625,74,82,0,1,1914
189.84688,0.10625,71,74,0,1,1915
189.96146,0.072916664,76,79,0,1,1916
190.09895,0.0625,72,79,0,1,1917
190.21355,0.24791667,77,88,0,1,1918
190.21771,0.38645834,74,83,0,1,1919
190.22708,0.05,43,66,0,1,1920
190.35,0.077083334,55,65,0,1,1921
190.46979,0.134375,54,71,0,1,1922
190.61354,0.06458333,55,62,0,1,1923
190.71666,0.077083334,86,92,0,1,1924
190.71875,0.10625,77,81,0,1,1925
190.73228,0.04375,57,69,0,1,1926
190.85104,0.077083334,55,73,0,1,1927
190.96771,0.072916664,54,66,0,1,1928
191.09479,0.072916664,55,64,0,1,1929
191.22292,0.13958333,43,71,0,1,1930
191.22917,0.14479166,76,89,0,1,1931
191.37187,0.128125,72,83,0,1,1932
191.49791,0.110416666,77,81,0,1,1933
191.61667,0.06979167,74,81,0,1,1934
191.73958,0.1375,79,87,0,1,1935
191.85417,0.098958336,76,82,0,1,1936
191.97812,0.14270833,81,87,0,1,1937
192.10521,0.0625,77,84,0,1,1938
192.21771,0.047916666,43,62,0,1,1939
192.22604,0.428125,79,91,0,1,1940
192.23228,0.19583334,76,84,0,1,1941
192.34479,0.067708336,55,68,0,1,1942
192.46562,0.109375,54,69,0,1,1943
192.59479,0.055208333,55,64,0,1,1944
192.71562,0.051041666,76,81,0,1,1945
192.71666,0.054166667,84,91,0,1,1946
192.71875,0.05,57,70,0,1,1947
192.84479,0.06666667,55,70,0,1,1948
192.96458,0.05,54,63,0,1,1949
193.09584,0.053125,55,60,0,1,1950
193.2125,0.10729167,71,69,0,1,1951
193.22292,0.094791666,43,61,0,1,1952
193.35728,0.067708336,67,65,0,1,1953
193.48125,0.12604167,72,64,0,1,1954
193.60312,0.046875,69,62,0,1,1955
193.72708,0.115625,74,68,0,1,1956
193.84375,0.088541664,71,65,0,1,1957
193.96146,0.072916664,76,68,0,1,1958
194.09895,0.044791665,72,62,0,1,1959
194.19583,0.051041666,55,59,0,1,1960
194.21355,0.22708334,77,69,0,1,1961
194.21666,0.34375,74,64,0,1,1962
194.33022,0.08125,67,62,0,1,1963
194.46042,0.115625,66,61,0,1,1964
194.57187,0.119791664,67,64,0,1,1965
194.70416,0.057291668,69,69,0,1,1966
194.71355,0.175,86,76,0,1,1967
194.71979,0.18333334,77,52,0,1,1968
194.84271,0.08541667,67,63,0,1,1969
194.97292,0.07083333,66,57,0,1,1970
195.08438,0.041666668,67,62,0,1,1971
195.20833,0.09166667,76,70,0,1,1972
195.21771,0.088541664,55,62,0,1,1973
195.34062,0.06875,72,70,0,1,1974
195.47708,0.09375,77,67,0,1,1975
195.58022,0.11666667,74,71,0,1,1976
195.71458,0.13958333,79,76,0,1,1977
195.83022,0.10625,76,70,0,1,1978
195.95729,0.1625,81,67,0,1,1979
196.05833,0.14895834,77,59,0,1,1980
196.1948,0.041666668,55,59,0,1,1981
196.20416,0.43125,79,72,0,1,1982
196.21042,0.20208333,76,66,0,1,1983
196.34375,0.055208333,67,38,0,1,1984
196.44376,0.15833333,66,69,0,1,1985
196.58229,0.063541666,67,57,0,1,1986
196.70103,0.134375,84,80,0,1,1987
196.71355,0.20520833,76,64,0,1,1988
196.71666,0.05,69,66,0,1,1989
196.83958,0.083333336,67,72,0,1,1990
196.95625,0.13020833,66,71,0,1,1991
197.07812,0.052083332,67,69,0,1,1992
197.21771,0.08020833,55,67,0,1,1993
197.22604,0.1375,83,94,0,1,1994
197.23334,0.045833334,74,82,0,1,1995
197.35312,0.077083334,79,81,0,1,1996
197.46979,0.08125,78,85,0,1,1997
197.59271,0.088541664,79,87,0,1,1998
197.72395,0.11770833,84,94,0,1,1999
197.83646,0.084375,79,79,0,1,2000
197.95,0.05,76,71,0,1,2001
198.07083,0.06666667,72,74,0,1,2002
198.19687,0.065625,79,73,0,1,2003
198.325,0.07604167,67,81,0,1,2004
198.32603,0.11145833,55,72,0,1,2005
198.45103,0.07395833,66,79,0,1,2006
198.45938,0.13645834,54,69,0,1,2007
198.57292,0.114583336,67,85,0,1,2008
198.58022,0.08645833,55,69,0,1,2009
198.7,0.052083332,60,77,0,1,2010
198.70416,0.104166664,72,92,0,1,2011
198.81876,0.08541667,55,67,0,1,2012
198.82187,0.1,67,80,0,1,2013
198.95416,0.060416665,52,70,0,1,2014
198.95938,0.08125,64,71,0,1,2015
199.1,0.08645833,60,72,0,1,2016
199.10208,0.079166666,48,69,0,1,2017
199.25937,0.05,67,76,0,1,2018
199.26146,0.43333334,43,65,0,1,2019
199.4927,0.052083332,55,60,0,1,2020
199.61563,0.1125,57,75,0,1,2021
199.7552,0.0625,59,68,0,1,2022
199.8677,0.0875,60,78,0,1,2023
199.99791,0.109375,62,82,0,1,2024
200.11458,0.1375,64,82,0,1,2025
200.23541,0.08125,66,81,0,1,2026
200.36563,0.0875,67,82,0,1,2027
200.48541,0.1125,69,86,0,1,2028
200.59792,0.06666667,71,84,0,1,2029
200.73021,0.10104167,72,85,0,1,2030
200.84375,0.123958334,74,84,0,1,2031
200.95938,0.13125,76,83,0,1,2032
201.08229,0.1,78,79,0,1,2033
201.22084,0.057291668,79,76,0,1,2034
201.34479,0.06979167,80,79,0,1,2035
201.47395,0.12291667,81,77,0,1,2036
201.59584,0.061458334,77,78,0,1,2037
201.73647,0.033333335,74,65,0,1,2038
201.87291,0.09166667,76,84,0,1,2039
202.01875,0.098958336,77,69,0,1,2040
202.14792,0.08125,74,67,0,1,2041
202.3,0.036458332,71,63,0,1,2042
202.49167,0.4625,64,76,0,1,2043
202.5375,0.052083332,48,65,0,1,2044
202.53854,0.40520832,67,69,0,1,2045
202.58542,0.371875,72,85,0,1,2046
202.6802,0.058333334,60,65,0,1,2047
202.80833,0.041666668,59,70,0,1,2048
202.94063,0.040625,60,68,0,1,2049
203.0552,0.22291666,48,65,0,1,2050
203.36458,0.077083334,72,58,0,1,2051
203.47812,0.07395833,71,68,0,1,2052
203.59895,0.11875,74,74,0,1,2053
203.71875,0.08958333,72,79,0,1,2054
203.83855,0.05625,76,78,0,1,2055
203.95,0.11666667,74,80,0,1,2056
204.06667,0.092708334,77,83,0,1,2057
204.17813,0.10104167,76,82,0,1,2058
204.29584,0.14791666,79,75,0,1,2059
204.38959,0.10208333,77,76,0,1,2060
204.50626,0.072916664,69,72,0,1,2061
204.56354,0.325,74,72,0,1,2062
204.63853,0.47083333,81,72,0,1,2063
204.64375,0.28229168,77,70,0,1,2064
204.66354,0.24583334,53,51,0,1,2065
