idx,matchtype,partid,ppartid
293,0,n286,286
294,0,n286,287
295,0,n285,285
296,0,n288,288
297,1,n287,undefined
298,0,n290,290
299,0,n289,289
300,0,n289,292
301,0,n294,294
302,0,n293,291
303,0,n293,293
304,0,n293,296
305,0,n297,297
306,0,n298,298
307,0,n299,299
308,0,n300,300
309,0,n302,302
310,0,n301,301
311,0,n305,305
312,0,n306,306
313,0,n307,304
314,0,n307,307
315,0,n308,308
316,0,n308,311
317,0,n310,310
318,0,n309,312
319,0,n313,313
320,0,n314,314
321,0,n315,315
322,0,n316,316
323,0,n316,319
324,0,n318,318
325,0,n317,317
326,0,n317,320
327,0,n321,321
328,0,n322,322
329,0,n323,323
330,0,n324,324
331,0,n325,325
332,0,n326,326
333,0,n327,327
334,0,n328,328
335,0,n329,329
336,0,n330,330
337,0,n331,331
338,0,n334,334
339,0,n332,332
340,0,n333,333
341,0,n335,335
342,0,n337,337
343,0,n338,338
344,0,n336,336
345,0,n336,340
346,0,n341,341
347,0,n342,342
348,0,n343,343
349,0,n344,344
350,0,n344,346
351,0,n345,345
352,0,n346,348
353,0,n347,347
354,1,n348,undefined
355,0,n349,349
356,0,n350,350
357,0,n351,351
358,0,n352,352
359,0,n353,353
360,0,n354,354
361,0,n355,355
362,0,n356,356
363,0,n357,357
364,0,n358,358
365,0,n359,359
366,0,n360,360
367,0,n361,361
368,0,n362,362
369,0,n363,363
370,0,n366,366
371,0,n365,365
372,0,n364,364
373,0,n367,367
374,0,n370,370
375,0,n369,369
376,0,n368,368
377,0,n371,371
378,0,n372,372
379,0,n373,373
380,0,n374,374
381,0,n375,375
382,0,n376,376
383,0,n377,377
384,0,n377,379
385,0,n378,378
386,1,n379,undefined
387,1,n380,undefined
388,0,n381,381
389,0,n381,383
390,0,n382,382
391,1,n383,undefined
392,0,n384,384
393,0,n385,385
394,0,n386,386
395,0,n387,387
396,0,n388,388
397,0,n389,389
398,0,n390,390
399,0,n391,391
400,0,n392,392
401,0,n393,393
402,0,n394,394
403,0,n395,395
404,0,n396,396
405,0,n397,397
406,0,n398,398
407,0,n401,401
408,0,n400,400
409,0,n399,399
410,0,n402,402
411,0,n404,404
412,0,n403,403
413,0,n405,405
414,0,n406,406
415,0,n407,407
416,0,n408,408
417,0,n409,409
418,0,n409,411
419,0,n410,410
420,0,n412,412
421,1,n411,undefined
422,0,n413,413
423,0,n415,415
424,0,n414,414
425,0,n416,416
426,0,n417,417
427,0,n418,418
428,0,n419,419
429,0,n421,421
430,0,n420,420
431,0,n422,422
432,0,n423,423
433,0,n425,425
434,0,n424,424
435,0,n426,426
436,0,n427,427
437,0,n429,429
438,0,n428,428
439,0,n430,430
440,0,n431,431
441,0,n432,432
442,0,n433,433
443,0,n434,434
444,0,n435,435
445,0,n436,436
446,0,n438,438
447,0,n437,437
448,0,n440,440
449,0,n439,439
450,0,n442,442
451,0,n441,441
452,0,n443,443
453,0,n444,444
454,0,n446,446
455,0,n445,445
456,0,n448,448
457,0,n447,447
458,0,n450,450
459,0,n449,449
460,0,n452,452
461,0,n451,451
462,0,n454,454
463,0,n453,453
464,0,n456,456
465,0,n455,455
466,0,n457,457
467,0,n458,458
468,0,n459,459
469,0,n460,460
470,0,n462,462
471,0,n461,461
472,0,n463,463
473,0,n465,465
474,0,n464,464
475,0,n464,467
476,0,n468,468
477,0,n469,469
478,0,n470,470
479,0,n471,471
480,0,n473,473
481,0,n472,472
482,0,n474,474
483,0,n474,477
484,0,n476,476
485,0,n475,478
486,0,n479,479
487,0,n480,480
488,0,n481,481
489,0,n482,482
490,0,n484,484
491,0,n483,483
492,0,n485,485
493,0,n485,488
494,0,n487,487
495,0,n486,486
496,0,n486,489
497,0,n490,490
498,0,n491,491
499,0,n492,492
500,0,n493,493
501,0,n495,495
502,0,n494,494
503,0,n496,496
504,0,n497,497
505,0,n498,498
506,0,n499,499
507,0,n500,500
508,0,n501,501
509,0,n502,502
510,0,n503,503
511,0,n505,505
512,0,n504,504
513,0,n506,506
514,0,n506,507
515,0,n508,508
516,1,n507,undefined
517,0,n509,509
518,0,n510,510
519,0,n511,511
